抽問分數,作業一,作業二,作業三,作業四,作業平均,測驗一,測驗二,測驗三,測驗平均,總成績
11,86,90,93.5,93,90.63,90,99,106,98.33,94
11,85.5,70,86.5,88.5,82.63,91,88,90,89.67,89
10,77,63.5,58.5,78,69.25,82,73,65,73.33,79
8,82.5,75.5,87.5,82.5,82,75,99,91,88.33,85
11,91,89,88.5,89.75,89.56,105,97,114,105.33,95
11,94.5,89.5,95.5,90.5,92.5,93,116,112,107,96
6,78.25,63.5,62.5,67.25,67.88,94,66,77,79,75
5,86.5,90.5,82.5,0,64.88,85,94,90,89.67,75
11,85,62,63,84.5,73.63,96,95,74,88.33,85
10,89,77.5,90,90.5,86.75,95,105,97,99,91
8,91.25,90.5,88.5,0,67.56,83,83,60,75.33,76
7,70.5,61.5,59,52,60.75,98,95,38,77,73
7,84,0,0,0,21,65,0,0,21.67,44
11,64,9,0,0,18.25,85,48,71,68,57
